region,liga,temporada,equipo_local,equipo_visitante,resultado,local_jugador_1,visitante_jugador_1,local_jugador_2,visitante_jugador_2,local_jugador_3,visitante_jugador_3,local_jugador_4,visitante_jugador_4,local_jugador_5,visitante_jugador_5,local_jugador_6,visitante_jugador_6,local_jugador_7,visitante_jugador_7,local_jugador_8,visitante_jugador_8,local_jugador_9,visitante_jugador_9,local_jugador_10,visitante_jugador_10,local_jugador_11,visitante_jugador_11
Internacional,Champions League,2025,Arsenal FC,Atlético de Madrid,"4:0
(0:0)",Raya,Oblak,Saliba,Giménez,Gabriel,Le Normand,Timber,Hancko,Zubimendi,Llorente,Rice,Koke,Lewis-Skelly,Barrios,Eze,González,Martinelli,Simeone,Saka,Alvarez,Gyökeres,Sørloth
Internacional,Champions League,2025,Bayer 04 Leverkusen,París Saint-Germain FC,"2:7
(1:4)",Flekken,Chevalier,Tapsoba,Zabarnyi,Badé,Pacho,Grimaldo,Mendes,Arthur,Hakimi,Andrich,Vitinha,Fernández,Zaïre-Emery,García,Mayulu,Echeverri,Barcola,Poku,Kvaratskhe.,Kofane,Doué
Internacional,Champions League,2025,Villarreal CF,Manchester City,"0:2
(0:2)",Luiz Júnior,Donnarumma,Foyth,Dias,Veiga,Stones,Pedraza,Gvardiol,Mouriño,Lewis,Partey,Nunes,Gueye,González,Comesaña,Silva,Pépé,Doku,Buchanan,Savinho,Mikautadze,Haaland
Internacional,Champions League,2025,PSV Eindhoven,SSC Nápoles,"6:2
(2:1)",Kovar,Milinković.,Gasiorowski,Buongiorno,Flamingo,Beukema,Salah-Eddine,Spinazzola,Mauro Júnior,Di Lorenzo,Schouten,Gilmour,Veerman,Anguissa,Til,McTominay,Saibari,De Bruyne,Perišić,Politano,Man,Lucca
Internacional,Champions League,2025,FC Copenhague,Borussia Dortmund,"2:4
(1:1)",Kotarski,Kobel,Gabriel Pe.,Anton,Suzuki,Bensebaini,Hatzidiakos,Schlotterb.,Meling,Svensson,Lerager,Bellingham,Clem,Nmecha,Achouri,Couto,Larsson,Brandt,Claesson,Guirassy,Moukoko,Beier
Internacional,Champions League,2025,Union Saint-Gilloise,Inter de Milán,"0:4
(0:2)",Scherpen,Sommer,Burgess,Bisseck,Mac Allister,Bastoni,Leysen,de Vrij,Rasmussen,Carlos Aug.,Van De Perre,Dumfries,Zorgane,Çalhanoğlu,Khalaili,Zielinski,Niang,Frattesi,Ait El Hadj,Esposito,David,Martínez
Internacional,Champions League,2025,Newcastle United,SL Benfica,"3:0
(1:0)",Pope,Trubin,Botman,Silva,Thiaw,Otamendi,Burn,Araújo,Trippier,Dedić,Ramsey,Ríos,Guimarães,Barrenechea,Miley,Aursnes,Gordon,Sudakov,Murphy,Lukébakio,Woltemade,Pavlidis
Internacional,Champions League,2025,Galatasaray,FK Bodø/Glimt,"3:1
(2:0)",Çakır,Haikin,Sánchez,Aleesami,Bardakcı,Bjørtuft,Jakobs,Bjørkan,Sallai,Sjøvold,Torreira,Berg,Lemina,Auklend,Yılmaz,Evjen,Akgün,Fet,Sané,Hauge,Osimhen,Høgh
Internacional,Champions League,2025,Athletic Club,Qarabağ FK,"3:1
(1:1)",Simón,Kochalski,Paredes,Mustafazada,Laporte,Medina,Berchiche,Cafarquliyev,Gorosabel,Matheus Si.,Jauregizar,Bicalho,Rego,Borges,Sancet,Zoubir,Williams,Leandro An.,Guruzeta,Akhundzada,Álex Padilla,Durán
Internacional,Champions League,2025,Real Madrid CF,Juventus de Turín,"1:0
(0:0)",Courtois,Di Gregorio,Militão,Kelly,Asencio,Rugani,Carreras,Gatti,Tchouaméni,Kalulu,Valverde,Cambiaso,Bellingham,Koopmeiners,Güler,McKennie,Vinicius J.,Thuram,Díaz,Yıldız,Mbappé,Vlahović
